name,wikiLink,inCategory,addToThisList,listLink
Chelsea Randall,https://en.wikipedia.org/wiki/Chelsea_Randall,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Cloudy Rhodes,https://en.wikipedia.org/wiki/Cloudy_Rhodes,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Ian Roberts (rugby league),https://en.wikipedia.org/wiki/Ian_Roberts_(rugby_league),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Danni Roche,https://en.wikipedia.org/wiki/Danni_Roche,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Hannah Scott (footballer),https://en.wikipedia.org/wiki/Hannah_Scott_(footballer),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Kate Shierlaw,https://en.wikipedia.org/wiki/Kate_Shierlaw,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Emily Smith (cricketer),https://en.wikipedia.org/wiki/Emily_Smith_(cricketer),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Toni Storm,https://en.wikipedia.org/wiki/Toni_Storm,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Stevie-Lee Thompson,https://en.wikipedia.org/wiki/Stevie-Lee_Thompson,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Heath Thorpe,https://en.wikipedia.org/wiki/Heath_Thorpe,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Jess Trend,https://en.wikipedia.org/wiki/Jess_Trend,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Kate Tyndall,https://en.wikipedia.org/wiki/Kate_Tyndall,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Elyse Villani,https://en.wikipedia.org/wiki/Elyse_Villani,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Sam Virgo,https://en.wikipedia.org/wiki/Sam_Virgo,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Serene Watson,https://en.wikipedia.org/wiki/Serene_Watson,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Rowena Webster,https://en.wikipedia.org/wiki/Rowena_Webster,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Sami Whitcomb,https://en.wikipedia.org/wiki/Sami_Whitcomb,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Sharni Williams,https://en.wikipedia.org/wiki/Sharni_Williams,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Courtney Winfield-Hill,https://en.wikipedia.org/wiki/Courtney_Winfield-Hill,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Belinda Woolcock,https://en.wikipedia.org/wiki/Belinda_Woolcock,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Tameka Yallop,https://en.wikipedia.org/wiki/Tameka_Yallop,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Sarah Puntigam,https://en.wikipedia.org/wiki/Sarah_Puntigam,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Viktoria Schnaderbeck,https://en.wikipedia.org/wiki/Viktoria_Schnaderbeck,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Lara Wolf,https://en.wikipedia.org/wiki/Lara_Wolf,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Julie Allemand,https://en.wikipedia.org/wiki/Julie_Allemand,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Marjorie Carpréaux,https://en.wikipedia.org/wiki/Marjorie_Carpréaux,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Willy De Bruyn,https://en.wikipedia.org/wiki/Willy_De_Bruyn,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Tine De Caigny,https://en.wikipedia.org/wiki/Tine_De_Caigny,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Valerie Demey,https://en.wikipedia.org/wiki/Valerie_Demey,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Kim Mestdagh,https://en.wikipedia.org/wiki/Kim_Mestdagh,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Kassandra Missipo,https://en.wikipedia.org/wiki/Kassandra_Missipo,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Elke Vanhoof,https://en.wikipedia.org/wiki/Elke_Vanhoof,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Marieke Vervoort,https://en.wikipedia.org/wiki/Marieke_Vervoort,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Diana Abla,https://en.wikipedia.org/wiki/Diana_Abla,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Tifanny Abreu,https://en.wikipedia.org/wiki/Tifanny_Abreu,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Andressa Alves da Silva,https://en.wikipedia.org/wiki/Andressa_Alves_da_Silva,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Jéssica Andrade,https://en.wikipedia.org/wiki/Jéssica_Andrade,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Geisa Arcanjo,https://en.wikipedia.org/wiki/Geisa_Arcanjo,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Bárbara Arenhart,https://en.wikipedia.org/wiki/Bárbara_Arenhart,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Bárbara (footballer),https://en.wikipedia.org/wiki/Bárbara_(footballer),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Bruna Amarante da Silva,https://en.wikipedia.org/wiki/Bruna_Amarante_da_Silva,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Cristiane (footballer),https://en.wikipedia.org/wiki/Cristiane_(footballer),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Ana Marcela Cunha,https://en.wikipedia.org/wiki/Ana_Marcela_Cunha,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Debinha,https://en.wikipedia.org/wiki/Debinha,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Larissa França,https://en.wikipedia.org/wiki/Larissa_França,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Francielle,https://en.wikipedia.org/wiki/Francielle,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Edênia Garcia,https://en.wikipedia.org/wiki/Edênia_Garcia,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Caroline Kumahara,https://en.wikipedia.org/wiki/Caroline_Kumahara,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Silvana Lima,https://en.wikipedia.org/wiki/Silvana_Lima,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Marta (footballer),https://en.wikipedia.org/wiki/Marta_(footballer),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Kaline Medeiros,https://en.wikipedia.org/wiki/Kaline_Medeiros,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Maique Nascimento,https://en.wikipedia.org/wiki/Maique_Nascimento,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Camila Nobre,https://en.wikipedia.org/wiki/Camila_Nobre,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Geovana Peres,https://en.wikipedia.org/wiki/Geovana_Peres,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Mayssa Pessoa,https://en.wikipedia.org/wiki/Mayssa_Pessoa,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Michael dos Santos,https://en.wikipedia.org/wiki/Michael_dos_Santos,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Laís Souza,https://en.wikipedia.org/wiki/Laís_Souza,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Marianne Steinbrecher,https://en.wikipedia.org/wiki/Marianne_Steinbrecher,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Anne Viriato,https://en.wikipedia.org/wiki/Anne_Viriato,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Dessi Dupuy,https://en.wikipedia.org/wiki/Dessi_Dupuy,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Elissa Alarie,https://en.wikipedia.org/wiki/Elissa_Alarie,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Amaz (gamer),https://en.wikipedia.org/wiki/Amaz_(gamer),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
