metric,orientationStatistic,orientationPValue,genderStatistic,genderPValue,queernessStatistic,queernessPValue,orientationSignificant,genderSignificant,queernessSignificant
liwc_negate,1.8795824802822767,0.06102253029042826,1.3866744566073927,0.1665951667408264,1.014939386478011,0.3108693697378816,no,no,no
liwc_quant,1.5522010680602603,0.1215471651057927,-1.248890571801546,0.2127019805950841,1.9285396501806211,0.0546352945718486,no,no,no
liwc_number,0.5367262126232847,0.5918088046974861,1.6787721863123697,0.0942625529912528,2.4681504688418188,0.0140817721960217,no,no,no
liwc_swear,3.039838798410083,0.0025511896189541745,2.2226282039681164,0.0270040563986356,3.653260764077453,0.0003005366534982,no,no,no
liwc_social,1.766361858037017,0.07823508830206123,3.245208983107564,0.0013096022737127,2.7407332517454925,0.0064599497867027,no,no,no
liwc_family,-1.9035256182898972,0.057818687374560813,-3.872497818129454,0.0001328967637509,-2.6317062175898247,0.0088899141066753,no,yes,no
liwc_friend,2.7568460183377463,0.006152114848772697,0.480052039638803,0.6315485665285827,1.975177494510928,0.0490710609462511,no,no,no
liwc_humans,0.4752312825110987,0.6349281770578167,3.990784304664972,8.328331924677802e-05,3.749134350778193,0.000209069712335,no,yes,yes
liwc_affect,2.364049399763924,0.018639728933799546,-0.4699212003648372,0.638760872060687,1.7634706222381185,0.0787354390191295,no,no,no
liwc_posemo,1.853114940427479,0.06473467150786537,-0.7305778222985589,0.4656208300684298,0.8293500209317269,0.4074986951296678,no,no,no
liwc_negemo,1.3122303288970758,0.1903302401582948,0.3388858781470881,0.7349384415244978,2.396176882201278,0.0171167139633122,no,no,no
liwc_anx,1.7131448833661511,0.08760016041131087,1.869139338985848,0.0626009247142036,2.153332163887938,0.0320080139462526,no,no,no
liwc_anger,1.2881118326889054,0.19858556112844028,-0.0945923746289575,0.9247032625740944,2.2875001525914103,0.022791401595352,no,no,no
liwc_sad,0.39024276179158796,0.6966021339996553,0.1685815448808609,0.8662421117743085,1.245432317374669,0.2138458825834229,no,no,no
liwc_cogmech,0.18109917822288646,0.8563979540953385,2.3223217676884125,0.0209007921536731,0.8433980531496413,0.3996094619658689,no,no,no
liwc_insight,-3.9338267576331036,0.00010142679597523706,2.524952202793872,0.0120991726731516,-1.946740916418375,0.0524038541514984,yes,no,no
liwc_cause,-0.5106780331648678,0.6099089089166958,-0.6408033874851813,0.5221512944494111,-2.138426313309558,0.0332073025742982,no,no,no
liwc_discrep,-0.6928280648218841,0.4888918047372838,0.0978240084192878,0.9221389278683751,0.1829277564276969,0.8549656915036042,no,no,no
liwc_tentat,-1.0473892490912966,0.2956662727379928,0.382308104370902,0.7025099995571618,-1.016500447394006,0.3101268936909828,no,no,no
liwc_certain,1.158264598319245,0.2475714033287079,0.8446085583055932,0.399018535354563,0.0349799196938375,0.9721166484184596,no,no,no
liwc_inhib,0.8508765407596687,0.3954385379906723,-1.1409710093250778,0.2548136867266262,0.0135187362845569,0.9892220089247394,no,no,no
liwc_incl,1.8088922443624729,0.07135355350090165,2.93987874816794,0.0035448773270535,4.13403186928434,4.512798417121985e-05,no,no,yes
liwc_excl,-0.4271065187501468,0.6695728825877638,1.32860640958445,0.1850116744516671,-0.1453145511314929,0.8845501795711983,no,no,no
liwc_percept,3.066005745629864,0.002343689071924259,0.690760348265391,0.4902630147718131,2.725933749509961,0.0067501049381746,no,no,no
liwc_see,2.319141537949761,0.02098131934201729,1.5523247182315625,0.1216639915880233,2.903535696367481,0.0039352563791946,no,no,no
liwc_hear,1.9236871251075567,0.05523092753103335,-1.2102027375133266,0.2271765117819466,1.391892631000003,0.1648810759404745,no,no,no
liwc_feel,1.762862284208006,0.07882470704937022,3.0299754714649114,0.0026638763891271,1.4216943060231046,0.1560480877980656,no,no,no
liwc_bio,2.194787423224042,0.028856624932405272,2.842767472439329,0.0047866654571865,3.623702089050563,0.0003355985582236,no,no,no
liwc_body,0.9388982055575943,0.3484514803331523,1.3911163968962088,0.1652455612585393,2.590016113008877,0.0100174634601504,no,no,no
liwc_health,-2.218578457281328,0.027177396341475313,2.0920840163075844,0.0372915063674915,0.8092307717291595,0.4189585068522286,no,no,no
liwc_sexual,5.077821498544932,6.312598904064939e-07,2.8054234999297014,0.0053613339432746,5.258595785129758,2.5972902158533773e-07,yes,no,yes
liwc_ingest,0.10829381757933569,0.9138266943082493,-0.9139742363674672,0.3614818746734446,-1.046136193279448,0.2962546430922846,no,no,no
liwc_relativ,3.7554342888179573,0.0002036053816264665,4.081172574107016,5.783456948398042e-05,6.568366108596538,1.9503568807463007e-10,yes,yes,yes
liwc_motion,1.03448795071743,0.30164550138740787,1.3440162597119405,0.1799828918308412,3.3233915272162657,0.0009879421387748,no,no,no
liwc_space,2.7567513489579283,0.0061538563993305245,1.582373962336976,0.1146430205365771,4.9155813078473205,1.3901762287983826e-06,no,no,yes
liwc_time,3.254749707519936,0.0012493399514030775,4.755757705534893,3.1061359107783443e-06,4.819943896448375,2.183858375198378e-06,no,yes,yes
liwc_work,-1.335461034997996,0.1826214708823637,-3.278236256343258,0.0011704032815582,-1.4564953674728938,0.1461951306462929,no,no,no
liwc_achieve,1.1892425957684125,0.23517652873774453,-0.2587196041108175,0.7960332484696182,1.7837729572446028,0.0753683818846559,no,no,no
liwc_leisure,-3.0906017802172223,0.0021629119209724697,-6.1384769802555565,2.701908699205959e-09,-5.499305915650608,7.591357450407107e-08,no,yes,yes
liwc_home,-1.0294675764075043,0.303993945589781,-0.4631872229393657,0.6435740259867996,0.4763743448156352,0.6341191867224859,no,no,no
liwc_money,-0.008884910254197778,0.9929161867995548,-0.0455015153123888,0.963738562745672,0.956268951301439,0.3396279993130682,no,no,no
liwc_relig,0.1726595077386584,0.8630221102877373,-3.0385400373469262,0.0025915794119805,0.3785722284976864,0.7052460647994574,no,no,no
liwc_death,-0.6786016658857901,0.4978532676092777,-1.7061973137468418,0.0890309787388524,-0.5966769696314329,0.5511272834697512,no,no,no
liwc_assent,1.1012598814542505,0.2715648677481569,0.7046902985241189,0.4815627442908977,0.9636759197957564,0.3359056145695448,no,no,no
liwc_nonfl,0.9956622266797704,0.32012444137486346,-2.1447213933646334,0.0327973771437983,-2.572824348173845,0.0105185470390589,no,no,no
liwc_filler,,,0.8045291711320588,0.421743736476135,0.6971218229110574,0.4862114889178537,n/a,no,no
