QID,Name,link,sex/gender,sex/gender reference,sexual orientation,sexual orientation reference,pronounsEn,pronouns reference
Q108370229,Symmy Larrat,https://en.wikipedia.org/wiki/Symmy_Larrat,['transgender female' 'travesti'],,,,,
Q5999641,Marlene Wayar,https://en.wikipedia.org/wiki/Marlene_Wayar,['transgender female' 'travesti'],,,,,
Q106611459,Jena Selle,https://en.wikipedia.org/wiki/Jena_Selle,transgender female,,,,she/her,
Q4754807,Andre J.,https://en.wikipedia.org/wiki/Andre_J.,['non-binary' 'agender'],,,,,
Q20683861,Ruth Baldacchino,https://en.wikipedia.org/wiki/Ruth_Baldacchino,['non-binary' 'intersex'],,,,they/them,
Q22123514,ASAKURA KATE,https://en.wikipedia.org/wiki/ASAKURA_KATE,['transgender female' 'intersex'],,,,,
Q107415322,Kahsennenhawe Sky-Deer,https://en.wikipedia.org/wiki/Kahsennenhawe_Sky-Deer,['two-spirit' 'female'],,['non-heterosexuality' 'homosexuality'],,,
Q4080459,Mel Baggs,https://en.wikipedia.org/wiki/Mel_Baggs,non-binary,,lesbianism,,['L303626' 'L304664'],
Q76368905,Alexya Salvador,https://en.wikipedia.org/wiki/Alexya_Salvador,['transgender female' 'travesti'],,,,,
Q24258689,Dominick Evans,https://en.wikipedia.org/wiki/Dominick_Evans,non-binary,,,,['they/them' 'he/him'],
Q36490522,Shakina Nayfack,https://en.wikipedia.org/wiki/Shakina_Nayfack,['non-binary' 'transgender female'],,,,,
Q50747973,Yren Rotela,https://en.wikipedia.org/wiki/Yren_Rotela,['transgender female' 'travesti'],,,,,
Q61000617,Duda Salabert,https://en.wikipedia.org/wiki/Duda_Salabert,['transgender female' 'travesti'],,,,,
Q5178572,Courtney Act,https://en.wikipedia.org/wiki/Courtney_Act,genderfluid,,,,['she/her' 'he/him'],
Q26702650,RB Butcher,https://en.wikipedia.org/wiki/RB_Butcher,non-binary,,,,['they/them' 'he/him'],
Q55760395,Bogi Takács,https://en.wikipedia.org/wiki/Bogi_Takács,agender,,,,['L303651' 'they/them'],
Q1893906,Raven van Dorst,https://en.wikipedia.org/wiki/Raven_van_Dorst,['non-binary' 'intersex'],,,,,
Q81849398,Vijayarajamallika,https://en.wikipedia.org/wiki/Vijayarajamallika,['transgender female' 'intersex'],,,,,
Q13371954,Jul' Maroh,https://en.wikipedia.org/wiki/Jul'_Maroh,['non-binary' 'transgender person'],,lesbianism,,they/them,
Q92192763,Ness Murby,https://en.wikipedia.org/wiki/Ness_Murby,['genderqueer' 'transmasculine'],,,,he/him,
Q234356,Janelle Monáe,https://en.wikipedia.org/wiki/Janelle_Monáe,['non-binary' 'female'],,pansexuality,,['they/them' 'she/her'],
Q28154977,Pidgeon Pagonis,https://en.wikipedia.org/wiki/Pidgeon_Pagonis,['non-binary' 'intersex'],,,,they/them,
Q85320873,Harry Josephine Giles,https://en.wikipedia.org/wiki/Harry_Josephine_Giles,non-binary,,,,['they/them' 'she/her'],
Q100941342,Ericka Hart,https://en.wikipedia.org/wiki/Ericka_Hart,non-binary,,,,['they/them' 'she/her'],
Q24287374,Bob the Drag Queen,https://en.wikipedia.org/wiki/Bob_the_Drag_Queen,non-binary,,pansexuality,,['she/her' 'he/him'],
Q87004099,Maebe A. Girl,https://en.wikipedia.org/wiki/Maebe_A._Girl,non-binary,,,,['they/them' 'she/her'],
Q19957749,Ezra Furman,https://en.wikipedia.org/wiki/Ezra_Furman,transgender female,,bisexuality,,['they/them' 'she/her'],
Q173399,Elliot Page,https://en.wikipedia.org/wiki/Elliot_Page,['non-binary' 'transgender person'],,non-heterosexuality,,['they/them' 'he/him'],
Q12569944,Rebecca Sugar,https://en.wikipedia.org/wiki/Rebecca_Sugar,non-binary,,bisexuality,,['they/them' 'she/her'],
Q45119005,Munroe Bergdorf,https://en.wikipedia.org/wiki/Munroe_Bergdorf,transgender female,,,,['they/them' 'she/her'],
